Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"2-digit level HCFMD Family Household Composition (Dwelling) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default summation","Dwelling Records"

"Counting","2-digit level HCFMD Family Household Composition (Dwelling)","TEND Tenure Type","Count",
"Dwelling Records","Three or more family household: Couple family with no children","Rented",266
"Dwelling Records","Three or more family household: Couple family with no children","Occupied rent free",13
"Dwelling Records","Three or more family household: Couple family with no children","Occupied under a life tenure scheme",0
"Dwelling Records","Three or more family household: Couple family with no children","Other",0
"Dwelling Records","Three or more family household: Couple family with no children","Not stated",29
"Dwelling Records","Three or more family household: Couple family with no children","Not applicable",0
"Dwelling Records","Three or more family household: Couple family with no children","Total",1011
"Dwelling Records","Two family household: Other family","Owned outright",416
"Dwelling Records","Two family household: Other family","Owned with a mortgage",547
"Dwelling Records","Two family household: Other family","Purchased under a shared equity scheme",5
"Dwelling Records","Two family household: Other family","Rented",869
"Dwelling Records","Two family household: Other family","Occupied rent free",16
"Dwelling Records","Two family household: Other family","Occupied under a life tenure scheme",0
"Dwelling Records","Two family household: Other family","Other",4
"Dwelling Records","Two family household: Other family","Not stated",60
"Dwelling Records","Two family household: Other family","Not applicable",0
"Dwelling Records","Two family household: Other family","Total",1924
"Dwelling Records","Two family household: One parent family","Owned outright",16380
"Dwelling Records","Two family household: One parent family","Owned with a mortgage",18268
"Dwelling Records","Two family household: One parent family","Purchased under a shared equity scheme",87
"Dwelling Records","Two family household: One parent family","Rented",16253
"Dwelling Records","Two family household: One parent family","Occupied rent free",303
"Dwelling Records","Two family household: One parent family","Occupied under a life tenure scheme",40
"Dwelling Records","Two family household: One parent family","Other",115
"Dwelling Records","Two family household: One parent family","Not stated",692
"Dwelling Records","Two family household: One parent family","Not applicable",0
"Dwelling Records","Two family household: One parent family","Total",52134
"Dwelling Records","Two family household: Couple family with children","Owned outright",21214
"Dwelling Records","Two family household: Couple family with children","Owned with a mortgage",46659
"Dwelling Records","Two family household: Couple family with children","Purchased under a shared equity scheme",114
"Dwelling Records","Two family household: Couple family with children","Rented",16466
"Dwelling Records","Two family household: Couple family with children","Occupied rent free",588
"Dwelling Records","Two family household: Couple family with children","Occupied under a life tenure scheme",34
"Dwelling Records","Two family household: Couple family with children","Other",188
"Dwelling Records","Two family household: Couple family with children","Not stated",1047
